ID,CATEGORY_ID,NAME,LABEL,NOTES,GROUP_BY
be1533fa-6ab0-4160-9f39-e979fcfcf01d,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-dairi,Kabupaten Dairi,1210,cities
4a62ca1e-40ca-4dc4-ad5b-ad925cbdcb64,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-karo,Kabupaten Karo,1211,cities
35db943a-8202-4fe9-8de3-d6b6d0212421,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-deli-serdang,Kabupaten Deli Serdang,1212,cities
ceae3ad0-74ef-4e48-b2ec-5a63331b3ad3,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-langkat,Kabupaten Langkat,1213,cities
70417a95-0f65-4715-904e-46821ac39146,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-nias-selatan,Kabupaten Nias Selatan,1214,cities
3bd63734-f6b2-406b-a840-cdc9ffdcb40b,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-humbang-hasundutan,Kabupaten Humbang Hasundutan,1215,cities
97704ec4-299c-47c0-adf8-28c3aca1e2a1,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-pakpak-bharat,Kabupaten Pakpak Bharat,1216,cities
f9ffe437-dec4-4c31-8c66-bdada6a68b8c,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-samosir,Kabupaten Samosir,1217,cities
e3d2a031-f3d7-47ba-9d16-54300e571e5e,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-serdang-bedagai,Kabupaten Serdang Bedagai,1218,cities
d0c755bf-eb88-404b-8ece-a49d50944ad7,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-batu-bara,Kabupaten Batu Bara,1219,cities
3e08eb40-ef02-4a2a-a8aa-3aad81d9b8e0,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-padang-lawas-utara,Kabupaten Padang Lawas Utara,1220,cities
ccc77490-64fb-41ed-9b70-beb4358c8853,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-padang-lawas,Kabupaten Padang Lawas,1221,cities
aa378fda-12b5-4b6a-b1c1-9bab70e5f4f9,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-labuhan-batu-selatan,Kabupaten Labuhan Batu Selatan,1222,cities
7220e6f9-8d7e-48ee-a0ff-650c263f8f44,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-labuhan-batu-utara,Kabupaten Labuhan Batu Utara,1223,cities
f83c54da-ec39-4ae5-a67f-f94f2f358dbf,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-nias-utara,Kabupaten Nias Utara,1224,cities
17965584-e9cf-4a26-b805-ebc87752e4f3,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kabupaten-nias-barat,Kabupaten Nias Barat,1225,cities
185f8ba6-2641-43d1-9882-34c2f37984c1,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kota-sibolga,Kota Sibolga,1271,cities
daf323a8-8605-4f90-afca-b8deb5375840,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kota-tanjung-balai,Kota Tanjung Balai,1272,cities
e46004af-d8be-4e12-ad31-284c45b524fb,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kota-pematang-siantar,Kota Pematang Siantar,1273,cities
a0965f24-791f-48ae-8beb-22352f196bc5,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kota-tebing-tinggi,Kota Tebing Tinggi,1274,cities
98760d92-4d59-43a0-9108-6be2bbe0fd8b,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kota-medan,Kota Medan,1275,cities
ea971c0a-3644-4082-9f2c-788f22c65291,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kota-binjai,Kota Binjai,1276,cities
ac1d744e-cd72-4f64-82e6-6c5afe59b29b,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kota-padangsidimpuan,Kota Padangsidimpuan,1277,cities
e136acfa-5eae-4aad-8a9a-528e5a46738f,d7f343e7-7e01-4bd5-8994-b5608fdbc27b,kota-gunungsitoli,Kota Gunungsitoli,1278,cities
7144ca91-4343-49e3-b4a3-00ae0cf64f65,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-kepulauan-mentawai,Kabupaten Kepulauan Mentawai,1301,cities
1fb63299-87de-401c-bc42-f3f0e5ab7a9c,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-pesisir-selatan,Kabupaten Pesisir Selatan,1302,cities
5c165d96-3ce2-4c2e-beba-39bf2db337a2,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-solok,Kabupaten Solok,1303,cities
06df8238-a4d7-42a1-8dae-dff7543a8b3c,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-sijunjung,Kabupaten Sijunjung,1304,cities
dc860c9f-aeac-4783-a20e-61329377dba8,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-tanah-datar,Kabupaten Tanah Datar,1305,cities
62e6bb26-f950-406e-a7f6-2f13a2db86ca,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-padang-pariaman,Kabupaten Padang Pariaman,1306,cities
715b41be-30ac-4379-8c71-3c8d655dc033,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-agam,Kabupaten Agam,1307,cities
b874304a-8340-4430-8f05-46b364874c50,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-lima-puluh-kota,Kabupaten Lima Puluh Kota,1308,cities
130f4b52-b06b-41a4-a086-06c39c8e6d78,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-pasaman,Kabupaten Pasaman,1309,cities
08d21c96-5782-41fe-8f64-445f4c30c34b,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-solok-selatan,Kabupaten Solok Selatan,1310,cities
1b29ce45-ab40-4e19-9f7d-10be2a18cea1,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-dharmasraya,Kabupaten Dharmasraya,1311,cities
04c50ae0-4d80-402f-aa6d-71c42fb1ebba,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kabupaten-pasaman-barat,Kabupaten Pasaman Barat,1312,cities
bb4a465a-adea-4642-8a46-e56ab141e64a,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kota-padang,Kota Padang,1371,cities
d7698914-60a1-4d06-83f5-968bb81870c1,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kota-solok,Kota Solok,1372,cities
8d61e6e5-7433-484b-a173-6469fbf9da05,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kota-sawah-lunto,Kota Sawah Lunto,1373,cities
f048b50e-2e48-4018-9e09-cd68a70bbd12,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kota-padang-panjang,Kota Padang Panjang,1374,cities
2f519853-e349-44cd-9c5b-dff100a9a3f2,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kota-bukittinggi,Kota Bukittinggi,1375,cities
ced75212-6592-4aa8-bf6c-9f7a6eec186f,40f9e05e-dd5b-49b4-be02-833ee5f224e2,kota-payakumbuh,Kota Payakumbuh,1376,cities
